task,n_valid,positive_rate,auc_roc,pr_auc,accuracy,f1,threshold,confusion_matrix
NR-AR,783,0.034482758620689655,0.7656280619243583,0.3548043619639593,0.9706257982120051,0.43902439024390244,0.5,"[[751, 5], [18, 9]]"
NR-AR-LBD,783,0.024265644955300127,0.7931248277762469,0.3352654562794879,0.9808429118773946,0.4444444444444444,0.5,"[[762, 2], [13, 6]]"
NR-AhR,783,0.11749680715197956,0.7945321839803687,0.37306222480893514,0.8825031928480205,0.02127659574468085,0.5,"[[690, 1], [91, 1]]"
NR-Aromatase,783,0.06002554278416347,0.7285210453283997,0.28331271684882464,0.9399744572158365,0.0,0.5,"[[736, 0], [47, 0]]"
NR-ER,783,0.08939974457215837,0.6703666599879783,0.20900151184353372,0.9118773946360154,0.08,0.5,"[[711, 2], [67, 3]]"
NR-ER-LBD,783,0.02681992337164751,0.7027871516060492,0.19653185433167,0.9744572158365262,0.23076923076923078,0.5,"[[760, 2], [18, 3]]"
NR-PPAR-gamma,783,0.0280970625798212,0.6994982678294113,0.07225553724556656,0.9719029374201787,0.0,0.5,"[[761, 0], [22, 0]]"
SR-ARE,783,0.15070242656449553,0.6710207722696572,0.26125579072167543,0.8492975734355045,0.0,0.5,"[[665, 0], [118, 0]]"
SR-ATAD5,783,0.0421455938697318,0.7863838383838384,0.2258713833476384,0.9578544061302682,0.0,0.5,"[[750, 0], [33, 0]]"
SR-HSE,783,0.06002554278416347,0.7699757169287696,0.22455012221299972,0.9399744572158365,0.0,0.5,"[[736, 0], [47, 0]]"
SR-MMP,783,0.12260536398467432,0.7676340368753032,0.30160528793559843,0.8748403575989783,0.0,0.5,"[[685, 2], [96, 0]]"
SR-p53,783,0.09195402298850575,0.7376347866854196,0.23289649716682975,0.9080459770114943,0.0,0.5,"[[711, 0], [72, 0]]"
